brand,model,year,title_status,mileage,color,state,price
gmc,door,2017,clean vehicle,28972.0,black,california,12520
jeep,compass,2019,clean vehicle,30061.0,red,north carolina,16200
chevrolet,malibu,2017,clean vehicle,18414.0,white,tennessee,19000
dodge,mpv,2017,clean vehicle,46829.0,gray,texas,5580
ford,srw,2017,clean vehicle,26241.0,black,pennsylvania,54000
gmc,mpv,2017,clean vehicle,39886.0,red,california,12710
jeep,compass,2019,clean vehicle,31594.0,silver,north carolina,16000
buick,enclave,2017,clean vehicle,32107.0,no_color,tennessee,27000
ford,mpv,2017,clean vehicle,44794.0,gray,texas,7760
chrysler,300,2019,clean vehicle,42648.0,gray,south carolina,19600
gmc,mpv,2017,clean vehicle,39165.0,silver,california,12920
jeep,cherokee,2019,clean vehicle,38355.0,charcoal,north carolina,20000
buick,door,2017,clean vehicle,46766.0,silver,florida,18100
chrysler,pacifica,2020,clean vehicle,2473.0,white,ohio,23000
chrysler,300,2019,clean vehicle,38586.0,gray,south carolina,18500
gmc,door,2017,clean vehicle,27842.0,white,california,13490
jeep,cherokee,2019,clean vehicle,31156.0,white,north carolina,20700
chevrolet,door,2017,clean vehicle,52435.0,black,florida,17800
ford,door,2017,clean vehicle,29942.0,black,texas,6650
chrysler,pacifica,2019,clean vehicle,25281.0,red,south carolina,29100
gmc,door,2017,clean vehicle,32504.0,silver,california,12710
jeep,cherokee,2019,clean vehicle,28649.0,silver,north carolina,21100
chevrolet,door,2017,clean vehicle,35200.0,white,florida,18600
ford,door,2017,clean vehicle,25602.0,silver,texas,4340
chrysler,300,2019,clean vehicle,34801.0,gray,south carolina,19300
gmc,door,2017,clean vehicle,31009.0,black,california,12780
jeep,compass,2019,clean vehicle,35595.0,charcoal,north carolina,15800
bmw,x3,2017,clean vehicle,23765.0,black,tennessee,29400
ford,door,2017,clean vehicle,31792.0,black,texas,4430
chrysler,300,2019,clean vehicle,33135.0,gray,south carolina,19400
gmc,door,2017,clean vehicle,30636.0,red,california,12520
jeep,compass,2019,clean vehicle,34502.0,red,north carolina,15900
buick,door,2017,clean vehicle,25434.0,white,florida,26400
ford,door,2017,clean vehicle,36732.0,black,texas,4140
chrysler,300,2019,clean vehicle,41792.0,gray,south carolina,18300
gmc,door,2017,clean vehicle,31992.0,black,california,12520
jeep,compass,2019,clean vehicle,32501.0,red,north carolina,17900
chevrolet,camaro,2017,clean vehicle,28395.0,black,florida,18300
ford,door,2017,clean vehicle,36139.0,blue,texas,4640
ford,door,2016,clean vehicle,84413.0,black,pennsylvania,24000
gmc,door,2017,clean vehicle,33457.0,white,california,13200
jeep,compass,2019,clean vehicle,29245.0,gray,north carolina,18000
chevrolet,equinox,2017,clean vehicle,12783.0,silver,florida,14900
ford,door,2017,clean vehicle,17617.0,white,texas,4140
ford,door,2016,clean vehicle,36855.0,black,pennsylvania,11500
ford,door,2017,clean vehicle,110316.0,white,texas,9110
chrysler,door,2015,clean vehicle,88227.0,black,pennsylvania,7350
bmw,door,2017,clean vehicle,17626.0,gray,michigan,24500
ford,door,2017,clean vehicle,120353.0,white,texas,9300
dodge,challenger,2015,clean vehicle,3641.0,white,pennsylvania,39800
bmw,m,2017,clean vehicle,29355.0,blue,michigan,53500
ford,door,2017,clean vehicle,39333.0,black,texas,15110
ford,door,2015,clean vehicle,42930.0,white,pennsylvania,34000
chevrolet,colorado,2017,clean vehicle,24993.0,black,michigan,26502
ford,mpv,2017,clean vehicle,44929.0,black,texas,5990
ford,focus,2018,clean vehicle,16971.0,black,south carolina,13600
cadillac,door,2017,clean vehicle,35598.0,gray,michigan,23605
ford,mpv,2017,clean vehicle,40455.0,white,texas,10780
ford,focus,2018,clean vehicle,23164.0,white,south carolina,13800
cadillac,door,2017,clean vehicle,19011.0,no_color,michigan,25201
ford,mpv,2017,clean vehicle,45191.0,white,texas,7070
ford,focus,2018,clean vehicle,21405.0,white,south carolina,8700
chevrolet,malibu,2017,clean vehicle,19117.0,no_color,michigan,18003
ford,door,2017,clean vehicle,42104.0,black,texas,8530
dodge,durango,2018,clean vehicle,49496.0,white,south carolina,23100
cadillac,door,2017,clean vehicle,32418.0,white,michigan,24500
ford,mpv,2017,clean vehicle,29882.0,white,texas,7000
ford,escape,2018,clean vehicle,34819.0,gold,south carolina,17000
chevrolet,1500,2017,clean vehicle,31923.0,white,michigan,34002
ford,mpv,2017,clean vehicle,29168.0,gray,texas,6980
dodge,charger,2018,clean vehicle,28307.0,silver,michigan,25000
chevrolet,colorado,2017,clean vehicle,33791.0,turquoise,michigan,20802
ford,door,2017,clean vehicle,21770.0,black,texas,9200
chrysler,pacifica,2017,clean vehicle,18375.0,gray,michigan,26500
chevrolet,colorado,2017,clean vehicle,14158.0,gray,michigan,24802
ford,mpv,2017,clean vehicle,30318.0,black,texas,7070
ford,door,2017,clean vehicle,48086.0,red,south carolina,28500
cadillac,door,2017,clean vehicle,26562.0,black,michigan,47500
ford,explorer,2017,clean vehicle,57611.0,black,south carolina,23500
chevrolet,colorado,2017,clean vehicle,47357.0,black,michigan,23505
ford,door,2017,clean vehicle,84916.0,white,texas,10940
ford,f-150,2017,clean vehicle,24521.0,gray,south carolina,32100
chevrolet,3500,2018,clean vehicle,16105.0,black,washington,53000
ford,mpv,2017,clean vehicle,35888.0,gold,texas,6830
dodge,caravan,2017,clean vehicle,59537.0,gray,south carolina,11900
chevrolet,1500,2017,clean vehicle,55222.0,black,michigan,26414
dodge,mpv,2018,clean vehicle,32870.0,gray,florida,4160
chevrolet,door,2017,clean vehicle,39687.0,silver,michigan,19405
dodge,mpv,2018,clean vehicle,47085.0,silver,florida,5690
chrysler,van,2017,clean vehicle,32224.0,silver,south carolina,25900
chevrolet,1500,2017,clean vehicle,51293.0,beige,michigan,24005
dodge,mpv,2018,clean vehicle,42989.0,gray,florida,5090
chrysler,300,2017,clean vehicle,31311.0,gray,arizona,19500
chevrolet,1500,2017,clean vehicle,46091.0,white,michigan,32012
dodge,dart,2016,clean vehicle,49033.0,black,michigan,6800
dodge,mpv,2018,clean vehicle,33957.0,gray,florida,4260
dodge,van,2008,salvage insurance,177948.0,orange,utah,0
chevrolet,2500,2017,clean vehicle,19845.0,silver,michigan,31802
dodge,doors,2018,clean vehicle,38910.0,black,florida,7210
dodge,door,2014,salvage insurance,123660.0,silver,utah,0
chevrolet,1500,2017,clean vehicle,31234.0,black,michigan,28402
dodge,doors,2018,clean vehicle,36767.0,gray,florida,6800
cadillac,esv,2015,clean vehicle,57932.0,gray,washington,33300
dodge,mpv,2018,clean vehicle,19420.0,white,florida,10780
ford,cutaway,2014,clean vehicle,204155.0,beige,pennsylvania,6700
chevrolet,1500,2016,clean vehicle,93493.0,white,washington,20000
chrysler,doors,2018,clean vehicle,20942.0,gray,florida,6440
ford,door,2016,clean vehicle,86826.0,gray,south carolina,19900
chevrolet,door,2015,clean vehicle,45787.0,white,washington,37000
dodge,mpv,2018,clean vehicle,50765.0,red,florida,4040
ford,explorer,2016,clean vehicle,62774.0,black,south carolina,22300
chevrolet,door,2011,clean vehicle,76326.0,gray,washington,31200
dodge,mpv,2018,clean vehicle,39029.0,white,florida,4290
ford,el,2016,clean vehicle,72885.0,silver,south carolina,22800
cadillac,door,2016,clean vehicle,46467.0,white,michigan,19002
dodge,mpv,2018,clean vehicle,6743.0,gray,florida,4160
ford,edge,2016,clean vehicle,33514.0,white,south carolina,18500
bmw,series,2016,clean vehicle,39917.0,blue,michigan,39000
dodge,doors,2018,clean vehicle,32504.0,black,florida,6060
ford,door,2016,clean vehicle,77638.0,white,south carolina,28800
bmw,series,2016,clean vehicle,31727.0,gray,michigan,40000
dodge,doors,2018,clean vehicle,52966.0,silver,florida,6140
ford,flex,2016,clean vehicle,24157.0,gray,south carolina,21000
buick,door,2016,clean vehicle,51393.0,beige,michigan,20105
dodge,doors,2018,clean vehicle,35461.0,white,florida,6760
ford,door,2014,clean vehicle,47055.0,brown,pennsylvania,25800
bmw,series,2016,clean vehicle,33110.0,black,michigan,39000
dodge,mpv,2018,clean vehicle,39721.0,black,florida,5470
ford,door,2014,clean vehicle,75785.0,black,pennsylvania,14600
chevrolet,1500,2016,clean vehicle,33624.0,black,michigan,24502
ford,door,2017,clean vehicle,42289.0,white,texas,15110
ford,door,2014,clean vehicle,79422.0,white,new york,7900
chevrolet,door,2016,clean vehicle,28844.0,blue,michigan,27305
ford,door,2017,clean vehicle,66582.0,white,texas,15290
ford,door,2015,clean vehicle,61436.0,silver,south carolina,26500
chevrolet,door,2016,clean vehicle,58303.0,silver,michigan,25502
ford,mpv,2017,clean vehicle,55618.0,white,texas,7320
chevrolet,van,2009,clean vehicle,261648.0,white,michigan,3800
chevrolet,door,2016,clean vehicle,33045.0,white,michigan,24502
ford,door,2017,clean vehicle,40747.0,white,texas,4140
dodge,pk,2002,clean vehicle,185460.0,black,michigan,1400
cadillac,srx,2016,clean vehicle,26667.0,gray,michigan,18402
ford,door,2017,clean vehicle,37176.0,white,texas,4160
chrysler,door,2000,salvage insurance,231240.0,red,north carolina,175
chevrolet,colorado,2016,clean vehicle,18006.0,brown,michigan,24503
ford,door,2017,clean vehicle,72445.0,white,texas,15840
ford,door,2014,clean vehicle,123355.0,black,south carolina,20500
chevrolet,1500,2016,clean vehicle,44116.0,silver,michigan,21003
ford,door,2017,clean vehicle,60219.0,red,texas,4200
ford,door,2011,clean vehicle,135077.0,red,georgia,17400
chevrolet,door,2016,clean vehicle,32058.0,black,michigan,32001
ford,mpv,2017,clean vehicle,76858.0,white,texas,0
ford,cab,2011,clean vehicle,309564.0,white,south carolina,15700
chevrolet,door,2016,clean vehicle,33928.0,white,michigan,31009
ford,wagon,2017,clean vehicle,90618.0,white,texas,3740
dodge,pickup,2001,clean vehicle,109360.0,white,georgia,5000
chevrolet,door,2016,clean vehicle,71809.0,white,michigan,31002
ford,doors,2017,clean vehicle,31563.0,gray,texas,3160
dodge,pickup,2005,clean vehicle,219823.0,gray,south carolina,8600
chevrolet,malibu,2018,clean vehicle,42090.0,gray,texas,6000
ford,door,2017,clean vehicle,126523.0,white,texas,12990
chevrolet,vehicl,2020,salvage insurance,7232.0,black,kentucky,25
buick,encore,2017,clean vehicle,60171.0,black,texas,13200
ford,wagon,2017,clean vehicle,209915.0,white,texas,4410
chrysler,door,2005,salvage insurance,151815.0,silver,massachusetts,25
chevrolet,camaro,2020,clean vehicle,13826.0,green,georgia,22500
ford,mpv,2017,clean vehicle,55854.0,white,texas,7420
ford,door,2016,clean vehicle,45757.0,silver,arizona,13500
chevrolet,trax,2020,clean vehicle,16545.0,white,georgia,15500
ford,door,2017,clean vehicle,112893.0,white,texas,3540
ford,door,2016,clean vehicle,126802.0,no_color,florida,17000
chevrolet,tahoe,2020,clean vehicle,13303.0,white,georgia,45500
ford,door,2017,clean vehicle,34061.0,silver,texas,4130
ford,door,2015,clean vehicle,70251.0,white,arizona,15700
chevrolet,tahoe,2020,clean vehicle,13679.0,gray,georgia,45500
ford,doors,2017,clean vehicle,42426.0,gray,texas,4130
dodge,door,2012,clean vehicle,66452.0,black,pennsylvania,15500
chevrolet,trax,2020,clean vehicle,18221.0,white,georgia,16300
ford,mpv,2017,clean vehicle,41455.0,white,texas,4530
dodge,door,2011,clean vehicle,35275.0,black,pennsylvania,15600
chevrolet,tahoe,2020,clean vehicle,13885.0,white,georgia,45500
ford,door,2017,clean vehicle,38815.0,gray,texas,4100
dodge,door,2011,clean vehicle,162281.0,white,pennsylvania,18200
chevrolet,door,2013,clean vehicle,56479.0,black,texas,10200
ford,doors,2017,clean vehicle,61027.0,black,texas,4080
ford,van,2014,clean vehicle,178703.0,white,florida,5700
chevrolet,3500,2014,clean vehicle,173469.0,white,texas,10200
ford,door,2017,clean vehicle,37321.0,white,texas,5000
ford,door,2014,clean vehicle,112789.0,white,florida,1700
bmw,door,2011,clean vehicle,80394.0,gray,texas,6200
ford,door,2016,clean vehicle,68142.0,white,texas,3650
dodge,door,2014,clean vehicle,74203.0,white,arizona,10500
chevrolet,2500,2018,clean vehicle,57604.0,white,georgia,43500
dodge,van,2016,clean vehicle,87229.0,silver,texas,4610
ford,door,2012,clean vehicle,90711.0,white,florida,3450
chevrolet,suburban,2018,clean vehicle,11135.0,silver,georgia,38500
ford,mpv,2016,clean vehicle,66781.0,silver,texas,6810
ford,cargo,2011,clean vehicle,190994.0,white,florida,2900
chevrolet,2500,2018,clean vehicle,56007.0,white,georgia,43500
ford,mpv,2016,clean vehicle,32486.0,white,texas,4450
ford,door,2011,clean vehicle,195908.0,white,florida,5800
chevrolet,equinox,2018,clean vehicle,18020.0,silver,georgia,16500
dodge,mpv,2016,clean vehicle,83262.0,white,texas,4240
ford,pickup,2008,clean vehicle,62015.0,white,pennsylvania,26500
chevrolet,equinox,2017,clean vehicle,36421.0,silver,georgia,13700
ford,door,2016,clean vehicle,73321.0,white,texas,8600
ford,chassis,2008,clean vehicle,132379.0,white,florida,8000
chevrolet,equinox,2017,clean vehicle,28013.0,silver,georgia,14200
ford,mpv,2016,clean vehicle,33291.0,silver,texas,7040
ford,chassis,2005,clean vehicle,225236.0,no_color,florida,4700
chevrolet,door,2016,clean vehicle,43176.0,red,georgia,30851
ford,mpv,2016,clean vehicle,36876.0,silver,texas,4880
dodge,pickup,2006,clean vehicle,111782.0,silver,pennsylvania,14500
chevrolet,door,2017,clean vehicle,110489.0,brown,nebraska,7600
ford,door,2016,clean vehicle,84035.0,white,texas,13270
ford,door,2012,clean vehicle,131101.0,gray,arizona,12800
ford,door,2016,clean vehicle,101380.0,white,texas,9280
ford,van,2003,clean vehicle,142027.0,white,florida,900
ford,door,2016,clean vehicle,111476.0,gray,texas,7560
ford,drw,2011,clean vehicle,76897.0,white,pennsylvania,19500
chevrolet,malibu,2019,clean vehicle,15780.0,white,washington,17100
ford,door,2016,clean vehicle,31944.0,white,texas,8020
ford,fiesta,2019,clean vehicle,18937.0,black,missouri,10300
chevrolet,van,2019,clean vehicle,9706.0,white,washington,22600
ford,doors,2016,clean vehicle,57289.0,gray,texas,10480
ford,fiesta,2019,clean vehicle,19956.0,silver,missouri,10300
chevrolet,van,2019,clean vehicle,6075.0,white,washington,22700
ford,door,2016,clean vehicle,21034.0,gray,texas,7410
ford,fiesta,2019,clean vehicle,22881.0,gray,missouri,10300
chevrolet,door,2013,clean vehicle,167600.0,gray,washington,10300
ford,door,2016,clean vehicle,37252.0,white,texas,7570
dodge,challenger,2019,clean vehicle,10944.0,blue,ohio,67000
chevrolet,impala,2019,clean vehicle,27601.0,white,texas,18900
ford,doors,2019,clean vehicle,15958.0,white,florida,12560
dodge,durango,2019,clean vehicle,32251.0,white,ohio,33000
chevrolet,impala,2019,clean vehicle,25809.0,black,texas,18300
ford,cab,2017,clean vehicle,30553.0,white,texas,11760
dodge,durango,2019,clean vehicle,26549.0,red,ohio,31700
dodge,door,2007,salvage insurance,160528.0,dark blue,minnesota,25
ford,door,2000,salvage insurance,124969.0,black,oklahoma,0
ford,doors,2019,clean vehicle,15854.0,gray,florida,7340
hyundai,door,2017,clean vehicle,56690.0,white,connecticut,8200
kia,door,2013,clean vehicle,97142.0,silver,missouri,3000
jeep,mpv,2019,clean vehicle,10185.0,black,georgia,6530
mazda,door,2009,salvage insurance,117541.0,gray,indiana,0
kia,soul,2019,clean vehicle,23514.0,silver,california,12700
kia,sorento,2017,clean vehicle,86959.0,gray,north carolina,13800
chevrolet,pickup,1998,salvage insurance,258631.0,gray,texas,0
ford,door,2017,salvage insurance,67279.0,gray,virginia,725
ford,doors,2019,clean vehicle,16482.0,gray,florida,7400
hyundai,elantra,2017,clean vehicle,35687.0,red,connecticut,9800
honda,door,2003,salvage insurance,152608.0,white,arkansas,0
jeep,mpv,2019,clean vehicle,17911.0,green,georgia,4400
infiniti,mpv,2019,clean vehicle,21278.0,blue,florida,10330
chevrolet,door,2011,salvage insurance,47269.0,black,arkansas,1800
chevrolet,door,2008,salvage insurance,172102.0,blue,texas,50
ford,wagon,2006,clean vehicle,26914.0,no_color,florida,720
ford,door,2017,clean vehicle,67217.0,red,michigan,22800
ford,door,2017,salvage insurance,78698.0,black,california,2500
ford,door,2003,salvage insurance,246065.0,gold,kansas,0
gmc,mpv,2017,clean vehicle,41961.0,black,virginia,9190
jeep,mpv,2019,clean vehicle,13273.0,red,michigan,10900
infiniti,mpv,2019,clean vehicle,31713.0,black,florida,10400
chevrolet,door,2004,salvage insurance,0.0,maroon,wyoming,0
chevrolet,door,2003,salvage insurance,194673.0,gray,texas,0
chevrolet,pickup,2008,clean vehicle,325611.0,silver,florida,7320
ford,f-150,2017,clean vehicle,50732.0,black,michigan,22809
ford,van,1998,salvage insurance,186855.0,blue,california,0
ford,door,2013,salvage insurance,94004.0,black,minnesota,0
gmc,mpv,2017,clean vehicle,52904.0,silver,virginia,5520
jeep,mpv,2019,clean vehicle,14195.0,orange,michigan,10900
jeep,mpv,2019,clean vehicle,43965.0,red,florida,6330
chevrolet,door,2009,salvage insurance,117059.0,black,colorado,0
chevrolet,pickup,2010,salvage insurance,149189.0,white,colorado,25
dodge,door,2007,clean vehicle,112182.0,red,florida,2320
ford,door,2017,clean vehicle,49024.0,black,michigan,23702
ford,chassis,1994,salvage insurance,0.0,green,california,0
ford,door,1997,salvage insurance,203297.0,green,minnesota,0
gmc,mpv,2017,clean vehicle,35821.0,silver,virginia,5520
heartland,pioneer,2018,clean vehicle,1.0,gray,pennsylvania,4050
infiniti,mpv,2019,clean vehicle,32611.0,brown,florida,14810
chevrolet,door,2011,salvage insurance,105244.0,white,colorado,25
chrysler,van,2008,clean vehicle,164048.0,red,florida,2960
ford,door,2017,clean vehicle,46955.0,gray,michigan,24800
ford,door,1996,salvage insurance,296860.0,green,california,0
ford,door,2006,salvage insurance,203158.0,red,illinois,0
gmc,mpv,2017,clean vehicle,70443.0,black,virginia,6270
heartland,trail,2012,clean vehicle,1.0,white,pennsylvania,1880
infiniti,mpv,2019,clean vehicle,18229.0,gray,florida,10050
chevrolet,door,2014,salvage insurance,87673.0,red,colorado,225
chevrolet,traverse,2018,clean vehicle,42941.0,black,missouri,26900
chrysler,door,2007,clean vehicle,104405.0,gold,florida,1420
ford,door,2017,clean vehicle,57186.0,black,michigan,27003
ford,door,2002,salvage insurance,214800.0,black,south carolina,0
ford,door,2004,salvage insurance,236980.0,gray,illinois,350
gmc,mpv,2017,clean vehicle,59808.0,black,virginia,5600
heartland,country,2011,clean vehicle,1.0,gray,pennsylvania,6680
infiniti,mpv,2019,clean vehicle,20681.0,white,florida,10120
chevrolet,door,2010,salvage insurance,137422.0,red,colorado,0
ford,door,2015,clean vehicle,102700.0,white,georgia,3920
ford,door,2017,clean vehicle,53270.0,black,michigan,23100
gmc,door,2004,salvage insurance,235348.0,gold,south carolina,0
gmc,mpv,2017,clean vehicle,27195.0,black,virginia,5630
heartland,sundance,2009,clean vehicle,1.0,white,pennsylvania,0
jaguar,doors,2019,clean vehicle,20849.0,black,florida,2800
chevrolet,door,2008,salvage insurance,159266.0,gray,california,0
ford,door,2015,clean vehicle,143818.0,black,georgia,8850
ford,f-150,2017,clean vehicle,67347.0,black,michigan,18712
ford,pickup,2009,salvage insurance,180364.0,blue,tennessee,0
ford,door,2009,salvage insurance,184889.0,black,illinois,0
gmc,mpv,2017,clean vehicle,117400.0,blue,virginia,6300
heartland,country,2010,clean vehicle,1.0,white,pennsylvania,2220
jeep,mpv,2019,clean vehicle,47798.0,red,florida,6930
chevrolet,door,2008,salvage insurance,130623.0,white,california,25
ford,door,2015,clean vehicle,124542.0,white,georgia,3440
ford,door,2017,clean vehicle,47129.0,black,michigan,50412
ford,pickup,1994,salvage insurance,206162.0,white,georgia,25
ford,pk,2001,salvage insurance,229886.0,red,illinois,950
gmc,mpv,2017,clean vehicle,19490.0,gray,virginia,9270
jeep,mpv,2019,clean vehicle,12038.0,black,michigan,11380
hyundai,mpv,2019,clean vehicle,43536.0,blue,florida,5350
chevrolet,door,2004,salvage insurance,308451.0,black,south carolina,2725
ford,door,2015,clean vehicle,100893.0,gray,georgia,3790
ford,door,2017,clean vehicle,90304.0,white,michigan,40514
ford,door,1997,salvage insurance,146912.0,green,wisconsin,0
ford,door,1998,salvage insurance,131367.0,white,illinois,0
gmc,mpv,2017,clean vehicle,31394.0,gray,virginia,9190
infiniti,mpv,2019,clean vehicle,25933.0,gray,florida,10330
acura,door,2008,salvage insurance,118250.0,gray,michigan,1000
bmw,door,2013,salvage insurance,46060.0,white,florida,2925
ford,door,2015,clean vehicle,50593.0,gold,georgia,3830
ford,door,2017,clean vehicle,62387.0,blue,michigan,43402
gmc,door,2009,salvage insurance,169634.0,black,michigan,1025
honda,van,2016,clean vehicle,72527.0,gray,new jersey,17200
harley-davidson,road/street,2016,clean vehicle,9502.0,black,virginia,54680
honda,door,2010,clean vehicle,217290.0,no_color,pennsylvania,6940
infiniti,mpv,2019,clean vehicle,17243.0,gray,florida,13080
chevrolet,door,2007,salvage insurance,194903.0,gray,virginia,25
ford,door,2015,clean vehicle,82899.0,white,georgia,10630
ford,door,2017,clean vehicle,76418.0,white,michigan,43009
gmc,door,2003,salvage insurance,138441.0,white,michigan,25
ford,pickup,2006,salvage insurance,240740.0,brown,mississippi,4600
honda,mpv,2016,clean vehicle,71404.0,black,virginia,4950
hyundai,doors,2019,clean vehicle,30382.0,silver,florida,3760
acura,door,2009,clean vehicle,179389.0,black,texas,3900
cadillac,coupe,2000,salvage insurance,105169.0,white,virginia,0
ford,door,2015,clean vehicle,82534.0,silver,georgia,3830
ford,door,2017,clean vehicle,55732.0,white,michigan,53500
ford,door,2010,salvage insurance,198596.0,gray,michigan,25
ford,door,1998,salvage insurance,300021.0,brown,arkansas,25
honda,door,2015,clean vehicle,83623.0,silver,virginia,6240
jeep,door,2014,clean vehicle,108895.0,white,new york,4150
jeep,door,1999,salvage insurance,226972.0,black,florida,25
bmw,series,2020,clean vehicle,7509.0,black,california,61200
buick,door,2006,salvage insurance,137464.0,blue,virginia,0
bmw,series,2014,clean vehicle,33542.0,blue,new jersey,13500
ford,door,2015,clean vehicle,74754.0,black,georgia,6490
ford,door,2017,clean vehicle,27661.0,black,michigan,51502
ford,door,2010,salvage insurance,115241.0,white,michigan,250
ford,door,1984,salvage insurance,41577.0,white,arkansas,25
honda,van,2015,clean vehicle,109027.0,gray,virginia,8160
jeep,door,2014,clean vehicle,72732.0,gray,new york,7770
jeep,door,2001,salvage insurance,126400.0,green,maryland,200
audi,door,2008,salvage insurance,177422.0,black,texas,25
chevrolet,door,1995,salvage insurance,274706.0,green,arizona,0
bmw,coupe,2008,salvage insurance,77984.0,white,georgia,1825
bmw,series,2017,clean vehicle,23177.0,blue,california,39800
ford,door,2015,clean vehicle,26911.0,silver,georgia,9210
ford,srw,2019,clean vehicle,21527.0,blue,washington,58500
ford,door,2014,salvage insurance,56461.0,silver,michigan,125
honda,door,2015,clean vehicle,95128.0,white,virginia,3960
hyundai,doors,2014,clean vehicle,122975.0,phantom black,new york,5998
honda,doors,2014,clean vehicle,162824.0,blue,new york,3700
kia,wagon,2008,salvage insurance,148463.0,silver,indiana,0
audi,door,2005,salvage insurance,181896.0,black,california,0
bmw,door,2000,salvage insurance,216657.0,gray,utah,0
gmc,door,2012,clean vehicle,140339.0,black,utah,5000
infiniti,mpv,2019,clean vehicle,26786.0,white,texas,15050
hyundai,doors,2019,clean vehicle,35623.0,red,ohio,3960
lincoln,nautilus,2019,clean vehicle,14541.0,black,california,36300
lexus,gx,2020,clean vehicle,8186.0,silver,florida,55600
nissan,doors,2018,clean vehicle,36739.0,gray,california,2630
nissan,mpv,2017,clean vehicle,42616.0,blue,new jersey,5690
audi,q5,2017,clean vehicle,65833.0,blue,texas,19500
chevrolet,coupe,2008,salvage insurance,123515.0,yellow,minnesota,450
cadillac,door,2015,clean vehicle,36122.0,white,wisconsin,20400
chevrolet,door,2011,clean vehicle,88359.0,brown,florida,4320
ford,f-150,2017,clean vehicle,35905.0,gray,michigan,33001
ford,door,2017,salvage insurance,35747.0,red,arkansas,10000
ford,door,2004,salvage insurance,167011.0,red,maryland,0
gmc,door,2012,clean vehicle,105020.0,white,utah,5790
infiniti,mpv,2019,clean vehicle,11047.0,black,texas,14750
hyundai,doors,2019,clean vehicle,31233.0,silver,ohio,4010
mercedes-benz,gle,2019,clean vehicle,19427.0,white,california,40000
kia,sportage,2017,clean vehicle,71991.0,silver,new jersey,13000
nissan,doors,2018,clean vehicle,29043.0,blue,california,3550
nissan,doors,2017,clean vehicle,36064.0,gray,new jersey,3040
chevrolet,coupe,2008,salvage insurance,270080.0,yellow,illinois,0
audi,5,2015,clean vehicle,47213.0,black,wisconsin,36400
ford,door,2011,clean vehicle,116480.0,black,florida,4480
ford,door,2017,clean vehicle,72084.0,red,michigan,31003
ford,pickup,2001,salvage insurance,295780.0,gold,arkansas,75
gmc,door,2011,clean vehicle,148035.0,white,utah,8850
